Table;C;R;U;D;Owner;Program
LPRDS;;x;;;Product_Management;BUMLYTRD;
ATRTS;;x;;;General_ledger;BUMLYTRD;
PRSNL;;x;;;Core;BUMLYTRD;
LPHYS;;x;;;Party_Management;BUMLYTRD;
LRCES;;x;;;General_Ledger;BUMLYTRD;
RSTRT;;;x;;auxiliary;BUMLYTRD;
IBATO;;x;x;;Current_Account_Engine;BUMLYTRD;
LPRDS;;x;;;Product_Management;ALDLLCBRAT;
LCCYS;;x;;;Reference_Data_Manager;ALDLLCBRAT;
REFFL;;;x;;Reference_Data_Manager;ALDLLCBRAT;
ADETS;;x;;;Current_Account_Engine;ALDLLCBRAT;
LCBNS;;x;;;Party_Management;ALDLLCBRAT;
AMVTO;;x;;;Current_Account_Engine;ALDLLCBRAT;
DPTRO;;x;;;Payments_Execution_Engine;ALDLLCBRAT;
DPTRL;;x;;;Payments_Execution_Engine;ALDLLCBRAT;
ISIMO;;x;x;;Business_Lending_Engine;ILCONSELSC;
LCCYS;;x;;;Reference_Data_Manager;ILCONSELSC;
LPRDS;;x;;;Product_Management;ILCONSELSC;
LBRAS;;;x;;Reference_Data_Manager;ILCONSELSC;
LCTPS;;x;;;Party_Management;ILCONSELSC;
LPRDS;;x;;;Product_Management;IUCRECNF;
IGLDO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
LCTPS;;x;;;Party_Management;IUCRECNF;
LPSNS;;x;;;Party_Management;IUCRECNF;
LELCS;;x;;;Party_Management;IUCRECNF;
ITLDO;;x;x;;lending;IUCRECNF;
IPTIO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
LPHYS;;x;;;Party_Management;IUCRECNF;
IODUS;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
ILDCO;;x;x;;Reconciliation_Engine;IUCRECNF;
AASPS;;x;x;;auxiliary;IUCRECNF;
ICNFO;x;x;;;Reconciliation_Engine;IUCRECNF;
IFXCO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
IFCSO;;x;x;;Reconciliation_Engine;IUCRECNF;
IFRAO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
IFRCO;;x;x;;Financial_Markets_Trade_engine;IUCRECNF;
IOPTS;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
IOPCO;;x;x;;Financial_Markets_Trade_engine;IUCRECNF;
IGIRO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
ITIRO;;x;;;Financial_Markets_Trade_engine;IUCRECNF;
LCBNS;;x;;;Party_Management;IUCRECNF;
ABA1S;;x;;;General_Ledger;IUCRECNF;
