Table;C;R;U;D;Owner;Program
ITOLO;;x;;;Reconciliation_Engine;IMMLC;
ICNFS;;x;;;Reconciliation_Engine;IMMLC;
AASPS;;x;x;;auxiliary;IMMLC;
PRSNL;;;x;;Core;IMMLC;
TSHNO;x;x;x;;auxiliary;TSHNM;
LCIYS;;x;;;Reference_Data_Manager;TSHNM;
REFFL;;;x;;Reference_Data_Manager;BDLGA;
LBRAS;;x;;;Reference_Data_Manager;BDLGA;
BISSO;;x;;;Financial Markets;BDLGA;
BDLGO;x;x;x;x;Financial Markets;BDLGA;
ICNFS;;x;;;Reconciliation_Engine;BDLGA;
BICTO;;x;;;Financial_Markets_Trade_engine;BDLGA;
LPHYS;;x;;;Party_Management;BDLGA;
LCCYS;;x;;;Reference_Data_Manager;BDLGA;
BBOKS;;x;x;;Financial_Markets_Trade_engine;BDLGA;
BASWO;;x;x;;Financial_Markets_Trade_engine;BDLGA;
LPRFS;;x;;;General_Ledger;BDLGA;
LPRDS;;x;;;Product_Management;BDLGA;
LPSNS;;x;;;Party_Management;BDLGA;
LCTPS;;x;;;Party_Management;BDLGA;
LCBNS;;x;;;Party_Management;BDLGA;
PRSNL;;x;;;Core;BDLGA;
LBROS;;x;;;Party_Management;BDLGA;
BREDO;;x;;;Financial_Markets_Trade_engine;BDLGA;
BDLTO;;x;x;;Financial_Markets_Trade_engine;BDLGA;
AASPS;;;x;;auxiliary;BDLGA;
BITTO;x;x;x;;Financial_Markets_Trade_engine;BDLGA;
IPTIO;;x;;x;Financial_Markets_Trade_engine;BDLGA;
ABASS;;x;;;auxiliary;ABAS4;
ALGRS;;x;;;General_ledger;ABAS4;
XGDCS;;x;;;General_Ledger;XGMCM;
LCCYS;;x;;;Reference_Data_Manager;XGMCM;
XGMVO;x;x;x;;General_Ledger;XGMCM;
AGEXS;;x;;;General_ledger;XGMCM;
ANTUS;;x;;;Current_Account_Engine;XGMCM;
ADETS;;x;;;Current_Account_Engine;XGMCM;
LRCES;;x;;;General_Ledger;XGMCM;
ADSNS;;x;;;General_ledger;XGMCM;
ARCDO;;x;;;General_Ledger;XGMCM;
XGMVL;x;;;;auxiliary;XGMCM;
AASPS;;;x;;auxiliary;XGMCM;
LCTPS;;x;;;Party_Management;LLCTPLST;
LPHYS;;x;;;Party_Management;LLCTPLST;
ICNFS;;x;;;Reconciliation_Engine;LLCTPLST;
DPTRO;;x;x;;Payments_Execution_Engine;DLDLLCLEIE;
AASPS;;;x;;auxiliary;DLDLLCLEIE;
GPARO;;x;;;Core;DLDLLCLEIE;
REFFL;;;x;;Reference_Data_Manager;DLDLLCLEIE;
LBRAS;;x;;;Reference_Data_Manager;DLDLLCLEIE;
LCCYS;;x;;;Reference_Data_Manager;DLDLLCLEIE;
RPDEF;;;x;;auxiliary;DLDLLCLEIE;
DIPTL;;x;;;auxiliary;DPTL5;
LPRDS;;x;;;Product_Management;DPTL5;
LCBNS;;x;;;Party_Management;DPTL5;
ABA1S;;x;;;General_Ledger;DPTL5;
LCCYS;;x;;;Reference_Data_Manager;DPTL5;
BDLGO;;x;;;Financial Markets;BDLG5;
BISSO;;x;;;Financial Markets;BDLG5;
BBOKS;;x;;;Financial_Markets_Trade_engine;BDLG5;
IPTIO;;x;;;Financial_Markets_Trade_engine;BDLG5;
LCCYS;;x;;;Reference_Data_Manager;BDLG5;
BISPO;;x;;;Financial_Markets_Trade_engine;BDLG5;
BICTO;;x;;;Financial_Markets_Trade_engine;BDLG5;
LPRDS;;x;;;Product_Management;BDLG5;
LPSNS;;x;;;Party_Management;BDLG5;
LCIYS;;x;;;Reference_Data_Manager;BDLG5;
PRSNL;;x;;;Core;BDLG5;
LBROS;;x;;;Party_Management;BDLG5;
LRCES;;x;;;General_Ledger;BDLG5;
LPRFS;;x;;;General_Ledger;BDLG5;
REFFL;;;x;;Reference_Data_Manager;CSHDS;
CSHDS;;x;;;financial markets;CSHDS;
LPRDS;;x;;;Product_Management;CSHDS;
LPHYS;;x;;;Party_Management;ASPAM;
LELCS;;x;;;Party_Management;ASPAM;
LCBNS;;x;;;Party_Management;ASPAM;
LCCYS;;x;;;Reference_Data_Manager;ASPAM;
ANTUS;;x;;;Current_Account_Engine;ASPAM;
APPNO;;x;;;Product_Management;ASPAM;
LPRDS;;x;;;Product_Management;ASPAM;
ADETS;;x;x;;Current_Account_Engine;ASPAM;
ASPAS;x;x;x;;Customer_Reporting;ASPAM;
REFFL;;;x;;Reference_Data_Manager;ASPAM;
ASPAL;x;;;;auxiliary;ASPAM;
AASPS;;;x;;auxiliary;ASPAM;
REFFL;;;x;;Reference_Data_Manager;CROIC;
CCMHO;;x;x;;Business_Lending_Engine;CROIC;
CMHIO;;x;;;auxiliary;CROIC;
CMTIO;x;x;x;;auxiliary;CROIC;
CMTLO;;x;;;Business_Lending_Engine;CROIC;
LCCYS;;x;;;Reference_Data_Manager;CROIC;
LBRAS;;x;;;Reference_Data_Manager;CROIC;
IIPIO;x;x;x;;Financial Markets;CROIC;
CPTIO;;x;;;Business_Lending_Engine;CROIC;
LRESS;;x;;;Reference_Data_Manager;CROIC;
LELCS;;x;;;Party_Management;CROIC;
AASPS;;;x;;auxiliary;CROIC;
XGDCS;;x;;;General_Ledger;XGMC4;
LBRAS;;x;;;Reference_Data_Manager;XGMC4;
LCCYS;;x;;;Reference_Data_Manager;XGMC4;
REFFL;;;x;;Reference_Data_Manager;CROIA;
CCMHO;;x;;;Business_Lending_Engine;CROIA;
CMHIO;;x;x;;auxiliary;CROIA;
CMTIO;x;x;x;;auxiliary;CROIA;
CMTLO;;x;;;Business_Lending_Engine;CROIA;
LCCYS;;x;;;Reference_Data_Manager;CROIA;
LBRAS;;x;;;Reference_Data_Manager;CROIA;
IIPIO;x;x;;;Financial Markets;CROIA;
CPTIO;;x;;;Business_Lending_Engine;CROIA;
LRESS;;x;;;Reference_Data_Manager;CROIA;
AASPS;;;x;;auxiliary;CROIA;
LELCS;;x;;;Party_Management;CROIA;
ALGRS;;x;x;;General_ledger;ABASS;
ABASS;;x;;;auxiliary;ABASS;
ARBRO;;x;;;General_Ledger;ABASS;
ABASL;x;;;;auxiliary;ABASS;
LPHYS;;x;;;Party_Management;CLSHRPORTF;
CPBCO;;x;;;Financial Markets;CLSHRPORTF;
LCCYS;;x;;;Reference_Data_Manager;CLSHRPORTF;
CRTRO;;x;x;;Business_Lending_Engine;CLSHRPORTF;
LPRDS;;x;;;Product_Management;CLSHRPORTF;
CSHTO;;x;;;financial markets;CLSHRPORTF;
PRSNL;;x;;;Core;CLSHRPORTF;
LRCES;;x;;;General_Ledger;CLSHRPORTF;
LPSNS;;x;;;Party_Management;CLSHRPORTF;
LCBNS;;x;;;Party_Management;CLSHRPORTF;
CSHAL;;x;;;auxiliary;CLSHRPORTF;
LCTPS;;x;;;Party_Management;CLSHRPORTF;
CSHDS;;x;;;financial markets;CLSHRPORTF;
AASPS;;x;x;;auxiliary;GP-091BDL-ACCEVT;
BDLGO;;x;;;Financial Markets;GP-091BDL-ACCEVT;
BBOKS;;x;;;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT;
BISSO;;x;;;Financial Markets;GP-091BDL-ACCEVT;
REFFL;;;x;;Reference_Data_Manager;GP-091BDL-ACCEVT;
BDLAO;x;x;x;x;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT;
BICTO;;x;;;Financial_Markets_Trade_engine;GP-091BDL-ACCEVT;
IGIRO;;x;;;Financial_Markets_Trade_engine;IUMLYACCIR;
LBRAS;;x;x;;Reference_Data_Manager;IUMLYACCIR;
LCCYS;;x;;;Reference_Data_Manager;IUMLYACCIR;
LELCS;;x;;;Party_Management;IUMLYACCIR;
AEXRS;;x;;;Reference_Data_Manager;IUMLYACCIR;
IRSAO;x;;;;Financial_Markets_Trade_engine;IUMLYACCIR;
LPRDS;;x;;;Product_Management;IUMLYACCIR;
ATRDO;x;;;;Current_Account_Engine;IUMLYACCIR;
ATRTS;;x;;;General_ledger;IUMLYACCIR;
ITIRO;;x;x;;Financial_Markets_Trade_engine;IUMLYACCIR;
IBATO;;x;x;;Current_Account_Engine;IUMLYACCIR;
DPTRL;;x;;;Payments_Execution_Engine;DPTL1;
DIPTL;;x;;;auxiliary;DPTL1;
LCCYS;;x;;;Reference_Data_Manager;DPTL1;
LCBNS;;x;;;Party_Management;ACHAC;
LPHYS;;x;;;Party_Management;ACHAC;
LCCYS;;x;;;Reference_Data_Manager;ACHAC;
ANTUS;;x;;;Current_Account_Engine;ACHAC;
APPNO;;x;;;Product_Management;ACHAC;
LPRDS;;x;;;Product_Management;ACHAC;
ADETS;;x;x;;Current_Account_Engine;ACHAC;
ARETO;;x;x;;Current_Account_Engine;ACHAC;
ARESS;;x;;;Current_Account_Engine;ACHAC;
DCNDO;;x;;;Payments_Execution_Engine;ACHAC;
REFFL;;;x;;Reference_Data_Manager;ACHAC;
GPARO;;x;;;Core;ACHAC;
DCONO;;x;;;Payments_Execution_Engine;ACHAC;
ADETL;x;x;x;;auxiliary;ACHAC;
BDLGO;;x;;;Financial Markets;BLDLYINVPL;
BISSO;;x;;;Financial Markets;BLDLYINVPL;
BICTO;;x;;;Financial_Markets_Trade_engine;BLDLYINVPL;
LBRAS;;x;;;Reference_Data_Manager;BLDLYINVPL;
LCCYS;;x;;;Reference_Data_Manager;BLDLYINVPL;
BBOKS;;x;;;Financial_Markets_Trade_engine;BLDLYINVPL;
REFFL;;;x;;Reference_Data_Manager;BLDLYINVPL;
IFFCO;;x;;;Financial_Markets_Trade_engine;IUIRFMRG;
LCCYS;;x;;;Reference_Data_Manager;IUIRFMRG;
IFCPO;;x;;;Financial_Markets_Trade_engine;IUIRFMRG;
IFFOO;;x;x;;Financial_Markets_Trade_engine;IUIRFMRG;
IFFVO;x;x;x;;Financial_Markets_Trade_engine;IUIRFMRG;
LBROS;;x;;;Party_Management;IUIRFMRG;
RPSCH;;;x;;auxiliary;IUIRFMRG;
LBRAS;;x;;;Reference_Data_Manager;IUIRFMRG;
REFFL;;;x;;Reference_Data_Manager;IUIRFMRG;
IFPSO;;x;;;Financial_Markets_Trade_engine;IUIRFMRG;
IFFDO;;x;;;Financial_Markets_Trade_engine;IUIRFMRG;
IIFFO;;x;;;financial markets;IUIRFMRG;
AASPS;;;x;;auxiliary;IUIRFMRG;
RPDEF;;;x;;auxiliary;IUIRFMRG;
LPSNS;;x;;;Party_Management;CSHO5;
CSHTO;;x;;;financial markets;CSHO5;
CSHOO;;x;;;financial markets;CSHO5;
LCCYS;;x;;;Reference_Data_Manager;CSHO5;
IIPIO;;x;;;Financial Markets;ILDEALTICK;
IERMO;;x;;;auxiliary;ILDEALTICK;
LCCYS;;x;;;Reference_Data_Manager;ILDEALTICK;
LPHYS;;x;;;Party_Management;ILDEALTICK;
IRCVO;;x;;;Financial_Markets_Trade_engine;ILDEALTICK;
LRCES;;x;;;General_Ledger;ILDEALTICK;
PRSNL;;x;;;Core;ILDEALTICK;
LBROS;;x;;;Party_Management;ILDEALTICK;
LPRDS;;x;;;Product_Management;ILDEALTICK;
IILDO;;x;x;;auxiliary;ILDEALTICK;
IGLDO;;x;;;Financial_Markets_Trade_engine;ILDEALTICK;
IPTIO;;x;;;Financial_Markets_Trade_engine;ILDEALTICK;
ABA1S;;x;;;General_Ledger;ILDEALTICK;
LCBNS;;x;;;Party_Management;ILDEALTICK;
LELCS;;x;;;Party_Management;ILDEALTICK;
AASPS;;x;;;auxiliary;ILDEALTICK;
RPSCH;;;x;;auxiliary;ILDEALTICK;
RSTRT;x;x;;;auxiliary;ILDEALTICK;
REFFL;;;x;;Reference_Data_Manager;CFACS;
CFACS;;x;;;Business_Lending_Engine;CFACS;
LCTSO;;x;;;Party_Management;CFACS;
LCBNS;;x;;;Party_Management;CFACS;
CHFCO;;x;;;Lending;CFACS;
CFDDO;;x;x;x;Business_Lending_Engine;CFACS;
ICNFS;;x;;;Reconciliation_Engine;CFACS;
LBRAS;;x;;;Reference_Data_Manager;CFACS;
LCCYS;;x;;;Reference_Data_Manager;CFACS;
LPRDS;;x;;;Product_Management;CFACS;
IINTO;;x;;;Current_Account_Engine;CFACS;
CCDIS;;x;;;auxiliary;CFACS;
CFFEO;x;x;;x;Business_Lending_Engine;CFACS;
CFDDL;;x;;x;auxiliary;CFACS;
CFCRO;;x;;x;Lending;CFACS;
CFXRO;;x;;x;Business_Lending_Engine;CFACS;
CFACL;x;;;;auxiliary;CFACS;
LCCYS;;x;;;Reference_Data_Manager;ALDLREPFFT;
LCTPS;;x;;;Party_Management;ALDLREPFFT;
LPHYS;;x;;;Party_Management;ALDLREPFFT;
LCBNS;;x;;;Party_Management;ALDLREPFFT;
ADETS;;x;;;Current_Account_Engine;ALDLREPFFT;
AHVBO;;x;;;Current_Account_Engine;ALDLREPFFT;
AHLBO;;x;;;Current_Account_Engine;ALDLREPFFT;
CGUAS;;x;;;Business_Lending_Engine;ALDLREPFFT;
IGLDO;;x;;;Financial_Markets_Trade_engine;ALDLREPFFT;
ITLDO;;x;;;lending;ALDLREPFFT;
CCMHO;;x;;;Business_Lending_Engine;ALDLREPFFT;
CMTLO;;x;;;Business_Lending_Engine;ALDLREPFFT;
CMTCO;;x;x;x;Financial Markets;IUDELCON;
CRTRO;;x;;x;Business_Lending_Engine;IUDELCON;
LPRDS;;x;;;Product_Management;IUDELCON;
REFFL;;;x;;Reference_Data_Manager;IUDELCON;
IFXCO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
IGLDO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
ITLDO;;x;x;;lending;IUDELCON;
IFRAO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
IOPTS;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
IGIRO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
ITIRO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
IIRSO;;x;x;;Financial Markets;IUDELCON;
IFFDO;;x;x;;Financial_Markets_Trade_engine;IUDELCON;
LPHYS;;x;;;Party_Management;CLCPBRCH;
LBRAS;;x;x;;Reference_Data_Manager;CLCPBRCH;
CFACS;;x;;;Business_Lending_Engine;CFAC2;
LCCYS;;x;;;Reference_Data_Manager;CFAC2;
ILDPO;;x;;;Financial_Markets_Trade_engine;IMCO5;
ICOPO;;x;;;Reconciliation_Engine;IMCO5;
IPTIO;;x;;;Financial_Markets_Trade_engine;IMCO5;
LCCYS;;x;;;Reference_Data_Manager;IMCO5;
LRCES;;x;;;General_Ledger;IMCO5;
LPSNS;;x;;;Party_Management;IMCO5;
ABA1S;;x;;;General_Ledger;IMCO5;
LBRAS;;x;;;Reference_Data_Manager;IMCO5;
LPRDS;;x;;;Product_Management;IMCO5;
CFACS;;x;;;Business_Lending_Engine;CFAC1;
LCCYS;;x;;;Reference_Data_Manager;CFAC1;
DFSCO;;x;;;Payments_Execution_Engine;DFSIF;
DFSCI;;x;;;Payments_Execution_Engine;DFSIF;
DFSII;;x;x;;Payments_Execution_Engine;DFSIF;
DFSIO;x;x;x;;Payments_Execution_Engine;DFSIF;
DFSIL;x;;;;Payment Execution Engine;DFSIF;
AASPS;;;x;;auxiliary;DFSIF;
LCBNS;;x;;;Party_Management;CFAC5;
LPHYS;;x;;;Party_Management;CFAC5;
CFACS;;x;;;Business_Lending_Engine;CFAC5;
LCCYS;;x;;;Reference_Data_Manager;CFAC5;
CFDDO;;x;;;Business_Lending_Engine;CFAC5;
CFATO;;x;;;Lending;CFAC5;
REFFL;;;x;;Reference_Data_Manager;CFAC5;
LPSNS;;x;;;Party_Management;CFAC6;
LCTPS;;x;;;Party_Management;CFAC6;
LPHYS;;x;;;Party_Management;CFAC6;
CFACS;;x;;;Business_Lending_Engine;CFAC6;
REFFL;;;x;;Reference_Data_Manager;CFAC6;
DFSCO;;x;;;Payments_Execution_Engine;DFSIM;
DFSCI;x;x;;;Payments_Execution_Engine;DFSIM;
DFSII;x;x;x;;Payments_Execution_Engine;DFSIM;
DFSIO;;x;;;Payments_Execution_Engine;DFSIM;
LCORO;;x;;;Party_Management;DFSIM;
LBRAS;;x;;;Reference_Data_Manager;DFSIM;
LELCS;;x;;;Party_Management;DFSIM;
DFSIL;;x;;;Payment Execution Engine;DFSIM;
AASPS;;;x;;auxiliary;DFSIM;
DFSCL;;x;;;auxiliary;DFSIM;
CSHOO;x;x;x;;financial markets;CSHOA;
LCCYS;;x;;;Reference_Data_Manager;CSHOA;
LCTPS;;x;;;Party_Management;CSHOA;
CSHTO;;x;;;financial markets;CSHOA;
CSHDS;;x;;;financial markets;CSHOA;
LPRDS;;x;;;Product_Management;CSHOA;
LPSNS;;x;;;Party_Management;CSHOA;
LCBNS;;x;;;Party_Management;CSHOA;
INOSO;;x;;;Financial_Markets_Trade_engine;CSHOA;
ABA1S;;x;;;General_Ledger;CSHOA;
LRCES;;x;;;General_Ledger;CSHOA;
CPBCO;x;x;;;Financial Markets;CSHOA;
LBROS;;x;;;Party_Management;CSHOA;
AASPS;;;x;;auxiliary;CSHOA;
CFACO;;x;x;;Business_Lending_Engine;CFACC;
LCCYS;;x;;;Reference_Data_Manager;CFACC;
LCTPS;;x;;;Party_Management;CFACC;
CFACS;;x;;;Business_Lending_Engine;CFACC;
LBRAS;;x;;;Reference_Data_Manager;CFACC;
LPRDS;;x;;;Product_Management;CFACC;
CFUSO;;x;;;Business_Lending_Engine;CFACC;
AFOLO;x;x;;;General_Ledger;AFOLC;
LRCES;;x;;;General_Ledger;AFOLC;
AASPS;;x;x;;auxiliary;AFOLC;
DMSTO;;x;;;Cash_Management_Engine;DSLV1;
DSLVO;;x;x;;Cash_Management_Engine;DSLV1;
DCBMO;;x;;;Payments_Execution_Engine;DSLV1;
REFFL;;;x;;Reference_Data_Manager;DSLV1;
LCBNS;;x;x;;Party_Management;DSLV1;
LPHYS;;x;;;Party_Management;DSLV1;
LCCYS;;x;;;Reference_Data_Manager;DSLV2;
DMSTO;;x;;;Cash_Management_Engine;DSLV2;
DSLVO;;x;x;;Cash_Management_Engine;DSLV2;
DCBMO;;x;;;Payments_Execution_Engine;DSLV2;
REFFL;;;x;;Reference_Data_Manager;DSLV2;
DSLVO;;x;;;Cash_Management_Engine;DSLV5;
LCBNS;;x;;;Party_Management;DSLV5;
LPHYS;;x;;;Party_Management;DSLV5;
REFFL;;;x;;Reference_Data_Manager;CUMAKRISCT;
LCTSO;;x;;;Party_Management;CUMAKRISCT;
LCTSL;;;x;;auxiliary;CUMAKRISCT;
LBRAS;;x;;;Reference_Data_Manager;ILSIMPMEM;
LPSNS;;x;;;Party_Management;ILSIMPMEM;
LCBNS;;x;;;Party_Management;ILSIMPMEM;
ISIMO;;x;;;Business_Lending_Engine;ILSIMPMEM;
LPRDS;;x;x;;Product_Management;ILSIMPMEM;
LPSNS;;x;;;Party_Management;CCRE5;
LCTPS;;x;;;Party_Management;CCRE5;
LCBNS;;x;;;Party_Management;CCRE5;
CCREO;;x;x;;Business_Lending_Engine;CCRE5;
LCCYS;;x;;;Reference_Data_Manager;CCRE5;
CFACS;;x;;;Business_Lending_Engine;CUMAKRISCL;
LCTPS;;x;;;Party_Management;CUMAKRISCL;
CFRSO;;x;;;Business_Lending_Engine;CUMAKRISCL;
LCCYS;;x;;;Reference_Data_Manager;CUMAKRISCL;
LPRDS;;x;;;Product_Management;CUMAKRISCL;
REFFL;;;x;;Reference_Data_Manager;CUMAKRISCL;
CFACL;;x;x;;auxiliary;CUMAKRISCL;
LCBNS;;x;;;Party_Management;CUMAKRISCL;
LCTSO;;x;;;Party_Management;CUMAKRISCL;
AASPS;;x;x;;auxiliary;AUBKEFOLRT;
AMDCO;;x;;;General_Ledger;AUBKEFOLRT;
LCCYS;;x;;;Reference_Data_Manager;AUBKEFOLRT;
ADETS;;x;x;;Current_Account_Engine;AUBKEFOLRT;
LPRDS;;x;;;Product_Management;AUBKEFOLRT;
IFXCO;;x;;;Financial_Markets_Trade_engine;AUBKEFOLRT;
ATRTS;;x;;;General_ledger;AUBKEFOLRT;
AJSTO;x;;;;General_Ledger;AUBKEFOLRT;
AMVTO;x;;;;Current_Account_Engine;AUBKEFOLRT;
INVMO;x;;;;Financial_Markets_Trade_engine;AUBKEFOLRT;
ATMPO;;x;;;Customer_Reporting;AUBKEFOLRT;
AADVO;x;;;;Customer_Reporting;AUBKEFOLRT;
AFOLO;;x;x;;General_Ledger;AUBKEFOLRT;
LBRAS;;x;x;;Reference_Data_Manager;AUBKEFOLRT;
GRTPO;;x;x;;Core;AUBKEFOLRT;
REFFL;;;x;;Reference_Data_Manager;AUBKEFOLRT;
AROTO;;x;;;General_Ledger;AUBKEFOLRT;
LBRAS;;x;;;Reference_Data_Manager;AUMVTCLN;
ADETS;;x;;;Current_Account_Engine;AUMVTCLN;
AMVTO;;x;;x;Current_Account_Engine;AUMVTCLN;
CCBRO;;x;;;Business_Lending_Engine;AUMVTCLN;
AADVO;;x;;x;Customer_Reporting;AUMVTCLN;
LCBNS;;x;;;Party_Management;AUMVTCLN;
LPHYS;;x;;;Party_Management;AUMVTCLN;
RSTRT;;;x;;auxiliary;AUMVTCLN;
AMVTO;;x;;;Current_Account_Engine;DLREPIT2;
LCBNS;;x;;;Party_Management;DLREPIT3;
DPTRL;;x;;;Payments_Execution_Engine;DLREPIT3;
DCLHO;;x;;;Payments_Execution_Engine;DLREPIT3;
DCLHO;;x;;;Payments_Execution_Engine;DLREPIT1;
LCBNS;;x;;;Party_Management;DLREPIT1;
DPTRL;;x;;;Payments_Execution_Engine;DLREPIT1;
LPHYS;;x;;;Party_Management;DLREPIT4;
LCBNS;;x;;;Party_Management;DLREPIT4;
ADETS;;x;;;Current_Account_Engine;DLREPIT4;
LELCS;;x;;;Party_Management;DLREPIT4;
LCTSO;;x;;;Party_Management;ILLSTCOMP;
LCTPS;;x;;;Party_Management;ILLSTCOMP;
LPRDS;;x;;;Product_Management;ILLSTCOMP;
IFXPO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
ILDPO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
IFRPO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
IOPPO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
IRSPO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
ICOPO;;x;;;Reconciliation_Engine;ILLSTCOMP;
IGIRO;;x;;;Financial_Markets_Trade_engine;ILLSTCOMP;
LPHYS;;x;;;Party_Management;ILLSTCOMP;
LCCYS;;x;;;Reference_Data_Manager;ILLSTCOMP;
LPSNS;;x;;;Party_Management;ILLSTCOMP;
LBRAS;;x;;;Reference_Data_Manager;ILLSTCOMP;
LBGRS;;x;;;Reference_Data_Manager;ILLSTCOMP;
IGLDO;;x;;;Financial_Markets_Trade_engine;CLEXSSPOT2;
ITLDO;;x;;;lending;CLEXSSPOT2;
LCCYS;;x;;;Reference_Data_Manager;CLEXSSPOT2;
LCTPS;;x;;;Party_Management;CLEXSSPOT2;
LCBNS;;x;;;Party_Management;CLEXSSPOT2;
CFACS;;x;;;Business_Lending_Engine;CLEXSSPOT2;
LPRDS;;x;;;Product_Management;CLEXSSPOT2;
LBRAS;;x;;;Reference_Data_Manager;CLEXSSPOT2;
LBGRS;;x;;;Reference_Data_Manager;CLEXSSPOT2;
CRTRO;;x;;;Business_Lending_Engine;CLEXSSPOT2;
LCCYS;;x;;;Reference_Data_Manager;GP-041-CTV;
DBATO;;x;;;Instruction_and_Order_Management;DUAUTHBAT;
ABA1S;;x;;;General_Ledger;DUAUTHBAT;
LPHYS;;x;;;Party_Management;DUAUTHBAT;
DIPTO;x;x;;;Payments_Execution_Engine;DUAUTHBAT;
DPBDO;x;x;x;;Payments_Execution_Engine;DUAUTHBAT;
REFFL;;;x;;Reference_Data_Manager;DUAUTHBAT;
LBRAS;;x;;;Reference_Data_Manager;DUAUTHBAT;
LPSNS;;x;;;Party_Management;DUAUTHBAT;
ICNFS;;x;;;Reconciliation_Engine;DUAUTHBAT;
LCCYS;;x;;;Reference_Data_Manager;DUAUTHBAT;
AASPS;;;x;;auxiliary;DUAUTHBAT;
AROTO;;x;;;General_Ledger;ALRGRPOS3;
ADETS;;x;;;Current_Account_Engine;ALRGRPOS3;
LCCYS;;x;;;Reference_Data_Manager;ALRGRPOS3;
ADLGS;;x;;;General_ledger;ALRGRPOS3;
LCBNS;;x;;;Party_Management;ALRGRPOS3;
LCRYS;;x;;;Reference_Data_Manager;ALRGRPOS3;
LBRAS;;x;;;Reference_Data_Manager;ALRGRPOS3;
ASELO;;x;;;auxiliary;ALRGRPOS3;
ABCLO;;x;;;Financial_Markets_Trade_engine;ALRGRPOS2;
AROTO;;x;;;General_Ledger;ALRGRPOS2;
ADETS;;x;;;Current_Account_Engine;ALRGRPOS2;
AMVTO;;x;;;Current_Account_Engine;ALRGRPOS2;
LBRAS;;x;;;Reference_Data_Manager;ALRGRPOS2;
LCCYS;;x;;;Reference_Data_Manager;ALRGRPOS2;
AEXRS;;x;;;Reference_Data_Manager;ALRGRPOS2;
LCCYS;;x;;;Reference_Data_Manager;DULDFDBPT;
LCBNS;;x;;;Party_Management;CLFACINVRE;
LPHYS;;x;;;Party_Management;CLFACINVRE;
CFACS;;x;;;Business_Lending_Engine;CLFACINVRE;
PRSNL;;x;;;Core;CLFACINVRE;
LCCYS;;x;;;Reference_Data_Manager;CLFACINVRE;
CFRSO;;x;;;Business_Lending_Engine;CLFACINVRE;
AEXRS;x;x;x;;Reference_Data_Manager;AUCROSSEXR;
LCCYS;;x;;;Reference_Data_Manager;AUCROSSEXR;
AASPS;;x;x;;auxiliary;AUCROSSEXR;
LCCYS;;x;;;Reference_Data_Manager;ALJSTCON;
LCBNS;;x;;;Party_Management;ALJSTCON;
LPHYS;;x;;;Party_Management;ALJSTCON;
AJSTO;;x;x;;General_Ledger;ALJSTCON;
DCNDO;x;x;;x;Payments_Execution_Engine;AKHDCNDO;
DCNTO;;x;;;Payments_Execution_Engine;AKHDCNDO;
AASPS;;x;;;auxiliary;AKHDCNDO;
LPRDS;;x;;;Product_Management;AKHDCNDO;
RPSCH;;;x;;auxiliary;GAURM;
CMTLL;x;;;;auxiliary;CI-LOG-CMTLO;
CFACS;;x;;;Business_Lending_Engine;CFXRM;
LPHYS;;x;;;Party_Management;CFXRM;
CFXRO;x;x;x;x;Business_Lending_Engine;CFXRM;
LCCYS;;x;;;Reference_Data_Manager;CFXRM;
CEXRO;;x;;;Financial_Markets_Trade_engine;CFXRM;
LPRDS;;x;;;Product_Management;CFXRM;
AASPS;;;x;;auxiliary;CFXRM;
CHFCO;;x;x;;Lending;CFXRM;
BDLPO;;x;x;;Financial_Markets_Trade_engine;BDLPM;
BDLGO;;x;;;Financial Markets;BDLPM;
AASPS;;;x;;auxiliary;BDLPM;
AASPS;;x;;;auxiliary;RMTRANUPD;
DIPTO;;x;x;;Payments_Execution_Engine;RMTRANUPD;
GMSGS;;x;;;Core;RMTRANUPD;
ITLDO;;x;x;x;lending;IUUPDITLDO;
IGLDO;;x;x;;Financial_Markets_Trade_engine;IUUPDITLDO;
ADETS;;x;;;Current_Account_Engine;WPDLLADETS;
LCBNS;;x;;;Party_Management;WPDLLADETS;
LCTPS;;x;;;Party_Management;WPDLLADETS;
LPHYS;;x;;;Party_Management;WPDLLADETS;
REFFL;;;x;;Reference_Data_Manager;LCTIF;
LCTIO;;x;x;;Party_Management;LCTIF;
LCBNS;x;x;x;;Party_Management;LCTIF;
LPHIO;;x;;;Party_Management;LCTIF;
LPHYS;;x;;;Party_Management;LCTIF;
LCTPS;x;x;x;;Party_Management;LCTIF;
LPSNS;;x;;;Party_Management;LCTIF;
AASPS;;;x;;auxiliary;LCTIF;
LCTPL;x;;;;auxiliary;LCTIF;
