Type;EntityName;Description;Owner                                                                                                                                                                                  ;;Letter;Length
R;ILCONSELFR;FRA CONTRACT INFORMATION      ;                              ;                                                                                                                                ;I;10
R;ILCONSELFX;Contract selection for. exchg.;                              ;                                                                                                                                ;I;10
R;ILCONSELLD;CONTRACT SELECTION LOAN/DEPOS.;                              ;                                                                                                                                ;I;10
R;ILCONSELSC;Contr Sel for Sec - Simpl Inv.;                              ;                                                                                                                                ;I;10
R;ILCONSLIRS;Contract selections IRS       ;                              ;                                                                                                                                ;I;10
R;ILCONSLLD2;PRINT LD CONTRACTS No 2       ;                              ;                                                                                                                                ;I;10
R;ILCTMFX;Extract FOREX for CTM         ;                              ;                                                                                                                                ;I;7
R;ILCTMMM;Money Market extract's for CTM;                              ;                                                                                                                                ;I;7
R;ILCTPPHO;Counterparty Phonenumber      ;                              ;                                                                                                                                ;I;8
R;ILDAYMVTFR;Daily movement FRA            ;                              ;                                                                                                                                ;I;10
R;ILDAYMVTFX;                              ;                              ;                                                                                                                                ;I;10
R;ILDAYMVTIR;Daily movements IRS           ;                              ;                                                                                                                                ;I;10
R;ILDAYMVTLD;DAILY MVT REPORT LO / DE      ;                              ;                                                                                                                                ;I;10
R;ILDAYMVTOP;Daily Movement FX-Options     ;                              ;                                                                                                                                ;I;10
R;ILDEALNUM;New deal numbers loans/deposit;                              ;                                                                                                                                ;I;9
R;ILDEALPMAT;Deals outstanding per maturity;                              ;                                                                                                                                ;I;10
R;ILDEALTICK;Print deal tickets            ;                              ;                                                                                                                                ;I;10
R;ILDLCTP;DEALS WITH CTP SINCE ...      ;                              ;                                                                                                                                ;I;7
R;ILDLLCRED;Download credit-line & maturit;                              ;                                                                                                                                ;I;9
R;ILDLLCSS12;Commission Analysis Download  ;                              ;                                                                                                                                ;I;10
R;ILDLLIOPTS;Download FX options           ;                              ;                                                                                                                                ;I;10
R;ILDLLMIS1;Download MIS data 1           ;                              ;                                                                                                                                ;I;9
R;ILDLLSTPMT;Download Standard Pmt Instr.  ;                              ;                                                                                                                                ;I;10
R;ILDLYACCF3;Monthly Accruals Abstracts FX ;                              ;                                                                                                                                ;I;10
R;ILDLYACCFR;Print daily abstracts FRAS    ;                              ;                                                                                                                                ;I;10
R;ILDLYACCFX;Daily Accrual Foreign Exchange;                              ;                                                                                                                                ;I;10
R;ILDLYACCIR;Print daily abstracts IRS     ;                              ;                                                                                                                                ;I;10
R;ILDLYACCL3;Daily Accrual Abstracts LD    ;                              ;                                                                                                                                ;I;10
R;ILDLYACCLD;Daily Accrual Loans/Deposits  ;                              ;                                                                                                                                ;I;10
R;ILDLYMRGLD;Daily margin analysis LD      ;                              ;                                                                                                                                ;I;10
R;ILDLYMVCUS;COMMERCIAL TRANSACTIONS       ;                              ;                                                                                                                                ;I;10
R;ILDLYVLM2;Daily volume report 2         ;                              ;                                                                                                                                ;I;9
R;ILDLYVLMRP;Daily volume report           ;                              ;                                                                                                                                ;I;10
R;ILDOCTCOM;*                             ;                              ;BOA                                                                                                                             ;I;9
R;ILDOCTINV;*                             ;                              ;BOA                                                                                                                             ;I;9
R;ILDOCTMAT;*                             ;                              ;BOA                                                                                                                             ;I;9
R;ILEURREP01;DEALS IN EMU CURRENCIES       ;                              ;                                                                                                                                ;I;10
R;ILEXPBNK50;BOE-50 Largest expos. banks   ;                              ;                                                                                                                                ;I;10
R;ILEXPCLI50;BOE-50 Largest expos. clients ;                              ;                                                                                                                                ;I;10
R;ILFOREXIN;Forex Informations            ;                              ;                                                                                                                                ;I;9
R;ILFRAIN;Fra's Contract Information    ;                              ;                                                                                                                                ;I;7
R;ILFRAOUT;Outstanding FRA contracts     ;                              ;                                                                                                                                ;I;8
R;ILFRDEALTK;FRA'S Deal ticket             ;                              ;                                                                                                                                ;I;10
R;ILFRRDSTRS;List RDS transactions         ;                              ;                                                                                                                                ;I;10
R;ILFRTRANSA;Print transactions FRAS       ;                              ;                                                                                                                                ;I;10
R;ILFWDCONAL;SPOT/FORWARD CONCLUSION ANAL. ;                              ;                                                                                                                                ;I;10
R;ILFWDOUTCU;SPOT FORWARD OUTSTAND. /CCY   ;                              ;                                                                                                                                ;I;10
R;ILFWDOUTVA;SPOT FORWARD OUTSTAND. /VALUE ;                              ;                                                                                                                                ;I;10
R;ILFXBTSTRA;forex bts transactions        ;                              ;                                                                                                                                ;I;10
R;ILFXBYCCY;FX BY CCY/SHN/CTRCT           ;                              ;                                                                                                                                ;I;9
R;ILFXDEALIN;FX Inv Deal Tickets           ;                              ;                                                                                                                                ;I;10
R;ILFXDEALTK;DEAL TICKETS                  ;                              ;                                                                                                                                ;I;10
R;ILFXDLTICK;Deal ticets                   ;                              ;                                                                                                                                ;I;10
R;ILFXMAS;List/Total FX SGD Transactions;                              ;                                                                                                                                ;I;7
R;ILFXMTMVAL;FX TRANSACTIONS MTM VALUATION ;                              ;                                                                                                                                ;I;10
R;ILFXTRANSA;Print FX transactions         ;                              ;                                                                                                                                ;I;10
R;ILHISFR;History Fra's Contract        ;                              ;                                                                                                                                ;I;7
R;ILHISFX;History Foreign Exchange      ;                              ;                                                                                                                                ;I;7
R;ILHISLD;history l /d contract         ;                              ;                                                                                                                                ;I;7
R;ILHMC;Listing headers confirmations ;                              ;                                                                                                                                ;I;5
R;ILINTBASRT;INTEREST BASE RATES           ;                              ;                                                                                                                                ;I;10
R;ILINVFLAT;Create flat file inventories  ;                              ;                                                                                                                                ;I;9
R;ILINVSEL;L/D & FOREX FLAT FILE CREATE  ;                              ;                                                                                                                                ;I;8
R;ILIRFDEATK;Print IRF deal tickets        ;                              ;                                                                                                                                ;I;10
R;ILIRFLP;LIST LIQUIDATED IRF POSITIONS ;                              ;                                                                                                                                ;I;7
R;ILIRFOP;OPEN INTR. RATE FUTERES POSIT.;                              ;                                                                                                                                ;I;7
R;ILIRFPC;PRINT IRF PROFIT/COMMISSIONS  ;                              ;                                                                                                                                ;I;7
R;ILIRFTDY;Deals done today              ;                              ;                                                                                                                                ;I;8
R;ILIRFTRA;List IRF transactions         ;                              ;                                                                                                                                ;I;8
R;ILIRSDEATK;Print Deal Tickets IRS        ;                              ;                                                                                                                                ;I;10
R;ILIRSGFI;OUTSTANDING IRS DEALS /GFI    ;                              ;                                                                                                                                ;I;8
R;ILIRSINFO;Contract information IRS      ;                              ;                                                                                                                                ;I;9
R;ILIRSTRA;List IRS Transactions         ;                              ;                                                                                                                                ;I;8
R;ILISIMAUT;Audit Trail ISIML             ;                              ;                                                                                                                                ;I;9
R;ILISPIO;List contents of ISPIO        ;                              ;                                                                                                                                ;I;7
R;ILJUSPDACC;Justification of P/D Accounts ;                              ;                                                                                                                                ;I;10
R;ILJUSRAEOM;JUSTIFICATION EOM RATE RESULTS;                              ;                                                                                                                                ;I;10
R;ILLDBTSTRA;Loans/deposits BTS transaction;                              ;                                                                                                                                ;I;10
R;ILLDCONAL;LOANS DEPOSITS CONCLUSION ANAL;                              ;                                                                                                                                ;I;9
R;ILLDDEALIN;LOANS/DEPOSIT DEAL TICKETS    ;                              ;                                                                                                                                ;I;10
R;ILLDICHK;LD INTERNAL PRODUCT STS CHK   ;                              ;                                                                                                                                ;I;8
R;ILLDOUTCU;L/D OUTSTANDING PER CURRENCY  ;                              ;                                                                                                                                ;I;9
R;ILLDOUTTER;Outstanding LD per Term code  ;                              ;                                                                                                                                ;I;10
R;ILLDTRANSA;Print transactions LD         ;                              ;                                                                                                                                ;I;10
R;ILLISTESP;List ESP/ESB payments/advices ;                              ;                                                                                                                                ;I;9
R;ILLNG;Listing longtext confirmations;                              ;                                                                                                                                ;I;5
R;ILLONDEPIN;Loans/deposits contracts inf. ;                              ;                                                                                                                                ;I;10
R;ILLSTCOMP;"List composite"" payments     """;                              ;                                                                                                                                ;I;9
R;ILLSTPAYDL;list payment instructions deal;                              ;                                                                                                                                ;I;10
R;ILLSTWARFR;Last Warning FRA              ;                              ;                                                                                                                                ;I;10
R;ILLSTWARFX;Last Warning Forex            ;                              ;                                                                                                                                ;I;10
R;ILLSTWARIR;Last warning report IRS       ;                              ;                                                                                                                                ;I;10
R;ILLSTWARLD;LAST WARNING REPORT LOAN/DEP. ;                              ;                                                                                                                                ;I;10
R;ILMKGDBBMB;Make GDB for BMB              ;                              ;                                                                                                                                ;I;10
R;ILMLYMRGLD;Monthly Margin Analysis LD    ;                              ;                                                                                                                                ;I;10
R;ILNCUDTPOS;Nostro Currency day/time pos. ;                              ;                                                                                                                                ;I;10
R;ILNCUDTRPO;Nostro Curr. d/t Reversal Pos.;                              ;                                                                                                                                ;I;10
R;ILNOSDTBND;NOSTRO DAY TIME POSITION-BONDS;                              ;                                                                                                                                ;I;10
R;ILNOSDTFUT;Copy of ILNOSDTPOS            ;                              ;                                                                                                                                ;I;10
R;ILNOSDTPO2;Nostro Day Time position 2    ;                              ;                                                                                                                                ;I;10
R;ILNOSDTPOS;Nostro Day Time position      ;                              ;                                                                                                                                ;I;10
R;ILNOSDTRPO;Nostro d/t reversal position  ;                              ;                                                                                                                                ;I;10
R;ILNSETFRA;FRA deals before Settlement   ;                              ;                                                                                                                                ;I;9
R;ILOPDEATDY;Deals done today              ;                              ;                                                                                                                                ;I;10
R;ILOPLGRACC;FX OP /GENERAL LEDGER ACCOUNT ;                              ;                                                                                                                                ;I;10
R;ILOPLSTMTH;Ccy Opt Deals done last month ;                              ;                                                                                                                                ;I;10
R;ILOPMATMTH;FX Opt Matured this Month     ;                              ;                                                                                                                                ;I;10
R;ILOPMTHTOD;Ccy Opt Deals Month to date   ;                              ;                                                                                                                                ;I;10
R;ILOPTEXPDT;Ccy Options by expiry date    ;                              ;                                                                                                                                ;I;10
R;ILOUFWCVDE;List Outsdng FWOC deals       ;                              ;                                                                                                                                ;I;10
R;ILOUTCCYPA;Deals Ccy Opt by Ccy Pair     ;                              ;                                                                                                                                ;I;10
R;ILOUTFRASU;FRA outstanding/summary ccy   ;                              ;                                                                                                                                ;I;10
R;ILOUTFXEOQ;outstanding FX deals          ;                              ;                                                                                                                                ;I;10
R;ILOUTINVMA;OUTSTANDING INVENTORY / MATUR ;                              ;                                                                                                                                ;I;10
R;ILOUTINVSU;OUTSTANDING L/D INVENT SUMM   ;                              ;                                                                                                                                ;I;10
R;ILOUTIRBKG;Outst. IRS Contracts          ;                              ;                                                                                                                                ;I;10
R;ILOUTIRS;IRS Outstanding               ;                              ;                                                                                                                                ;I;8
R;ILOUTMATLD;OUTSTANDING INV. MAT. L/D     ;                              ;                                                                                                                                ;I;10
R;ILOUTOPCTP;Ccy Opt/CTP Outstanding       ;                              ;                                                                                                                                ;I;10
R;ILOUTOPTTY;Ccy Opt/Type                  ;                              ;                                                                                                                                ;I;10
R;ILOUTRR;LIST OUTSTANDING REV.REPOS    ;                              ;                                                                                                                                ;I;7
R;ILPAYINADV;PAYMT INSTR TO BE ADVISED     ;                              ;                                                                                                                                ;I;10
R;ILPMTCHG;Payment instruction changes   ;                              ;                                                                                                                                ;I;8
R;ILPMTDTEDC;PRINT PMT DECISION TABLE      ;                              ;                                                                                                                                ;I;10
R;ILPOSIRS;Positions OIS contracts       ;                              ;                                                                                                                                ;I;8
R;ILPRCNFNP;Print cnf New Products        ;                              ;                                                                                                                                ;I;9
R;ILPRCNFSTA;Print Confirmation status     ;                              ;                                                                                                                                ;I;10
R;ILPRINTCNF;Print Confirmations           ;                              ;                                                                                                                                ;I;10
R;ILPRPMTNOS;Print nostro payments         ;                              ;                                                                                                                                ;I;10
R;ILPRPMTSTA;Print Payment status          ;                              ;                                                                                                                                ;I;10
R;ILPYISTINT;*                             ;                              ;NEER                                                                                                                            ;I;10
R;ILRCCNF;Audit reconciled confirmations;                              ;                                                                                                                                ;I;7
R;ILRESIRS;LIST INTEREST RUN OIS CONTRCTS;                              ;                                                                                                                                ;I;8
R;ILSELCONOP;Contract Selection FX Options ;                              ;                                                                                                                                ;I;10
R;ILSETFRA;Fra's Settl. due in x days    ;                              ;                                                                                                                                ;I;8
R;ILSHNABSNT;Persons without shortname     ;                              ;                                                                                                                                ;I;10
R;ILSIMPMEM;*                             ;                              ;BOA                                                                                                                             ;I;9
R;ILSIMPREP;Simplified Inventory report   ;                              ;                                                                                                                                ;I;9
R;ILSPFWISO;SPOT FWD PER ISO CTPY         ;                              ;                                                                                                                                ;I;9
R;ILSPFWOUT;List Spot/forward outstanding ;                              ;                                                                                                                                ;I;9
R;ILSPOTFLAT;Flat file of spot positions   ;                              ;                                                                                                                                ;I;10
R;ILSTMBAL;Nostro Balances Report        ;                              ;                                                                                                                                ;I;8
R;ILSTMDEP;Summary per Departemental Code;                              ;                                                                                                                                ;I;8
R;ILSTMSUM;NostroRec.Summary of open stms;                              ;                                                                                                                                ;I;8
R;ILSTMTRG;download nostro rec mvts      ;                              ;WP                                                                                                                              ;I;8
R;ILSTPMTINS;List Standard Payment Instr   ;                              ;                                                                                                                                ;I;10
R;ILSUMCUS;FX & MM deals concluded in mth;                              ;                                                                                                                                ;I;8
R;ILSUMMVTFR;Summary dly mvt FRA           ;                              ;                                                                                                                                ;I;10
R;ILSUMMVTFX;Summary daily movements FX    ;                              ;                                                                                                                                ;I;10
R;ILSUMMVTIR;Summary daily movements IRS   ;                              ;                                                                                                                                ;I;10
R;ILSUMMVTLD;SUMMARY MOVEMENTS L/D         ;                              ;                                                                                                                                ;I;10
R;ILTKOIFFDO;Listing for take-over of IFFDO;                              ;                                                                                                                                ;I;10
R;ILTRSDEAL;treasury deal report          ;                              ;NEER                                                                                                                            ;I;9
R;ILWARDTEDC;Warning date decision table   ;                              ;                                                                                                                                ;I;10
R;ILWAROPTEX;WARNING FX-OPTIONS EXPIRED    ;                              ;                                                                                                                                ;I;10
R;ILXDWAR;X days warning                ;                              ;                                                                                                                                ;I;7
R;IUAUDTBL;List audit trail decision tbl ;                              ;                                                                                                                                ;I;8
R;IUAUDTBLES;Audit trail decision tables   ;                              ;                                                                                                                                ;I;10
R;IUAUTOSCAN;Sheduling of AUTO scanning's  ;                              ;                                                                                                                                ;I;10
R;IUBOEB7SEL;Select BOE B7 - data          ;                              ;                                                                                                                                ;I;10
R;IUCHGCTP;Change Shn-ciy and rel nbr ctp;                              ;                                                                                                                                ;I;8
R;IUCHGPFTL3;Change CPFTCEN                ;                              ;                                                                                                                                ;I;10
R;IUCHKCNF;Confirmations reconciliation  ;                              ;                                                                                                                                ;I;8
R;IUCHKSTM;NOSTRO RECONCILIATION         ;                              ;                                                                                                                                ;I;8
R;IUCHSCNF;Generate chasers              ;                              ;                                                                                                                                ;I;8
R;IUCLNCNF;Clean up confirmations        ;                              ;                                                                                                                                ;I;8
R;IUCLNINT;Clean-up Interest Base rates  ;                              ;                                                                                                                                ;I;8
R;IUCLNSTM;Clean up stmts and stmt lines ;                              ;                                                                                                                                ;I;8
R;IUCLNTBL;Clean up Aibro,Inoso,Ilpao    ;                              ;                                                                                                                                ;I;8
R;IUCLNTBLES;Clean up Decision Tables      ;                              ;                                                                                                                                ;I;10
R;IUCLNUPBD;Clean-up Bts- and Batch- Dir. ;                              ;                                                                                                                                ;I;9
R;IUCLRATE;Extract/Load rate             ;                              ;                                                                                                                                ;I;8
R;IUCNF;List confirm & check overdue  ;                              ;                                                                                                                                ;I;5
R;IUCNF2;List of confirmations (NYC)   ;                              ;                                                                                                                                ;I;6
R;IUCNVNOSRE;Euro Conversion Nostro Account;                              ;                                                                                                                                ;I;10
R;IUCPRDBKG;UPDATE CPRD ACCOUNTING IRCS   ;                              ;                                                                                                                                ;I;9
R;IUCRECNF;Create confirmations  (ver 2K);                              ;                                                                                                                                ;I;8
R;IUCRSWPM2;CREATE SWIFT PAYM II          ;                              ;                                                                                                                                ;I;9
R;IUCUTOFTIM;Check LCCYS cut-of-time       ;                              ;                                                                                                                                ;I;10
R;IUDELCON;Set status contract to DEL    ;                              ;                                                                                                                                ;I;8
R;IUDELISIMO;Physically delete ISIMO-record;                              ;                                                                                                                                ;I;10
R;IUDLYABFRA;Create dly abstr for Fra's    ;                              ;                                                                                                                                ;I;10
R;IUDLYABIRF;Create dly abstr for Futures  ;                              ;                                                                                                                                ;I;10
R;IUDLYABIRS;Create dly abstr for Int. Rate;                              ;                                                                                                                                ;I;10
R;IUDLYABOPT;Create dly abstr for Options  ;                              ;                                                                                                                                ;I;10
R;IUDLYACCAB;IUDLYACCAB                    ;                              ;                                                                                                                                ;I;10
R;IUERRIPU;REPROCESSING OF SWF,BART,...  ;                              ;                                                                                                                                ;I;8
R;IUEXPSSI;UPD. DEALS SSI'S EXP.BEF VALUE;                              ;                                                                                                                                ;I;8
R;IUFDSIMP;Fill DVALSEG DMATSEG          ;                              ;                                                                                                                                ;I;8
R;IUFDSIMPOS;LOAD EXTRACTFILE ISIMO : TEMP.;                              ;                                                                                                                                ;I;10
R;IUFDSIMPRO;TEMPORARY : EXTRACTS ISIMO    ;                              ;                                                                                                                                ;I;10
R;IUFILIBTF5;                              ;                              ;                                                                                                                                ;I;10
R;IUFILIBTI5;                              ;                              ;                                                                                                                                ;I;10
R;IUFILIIPH5;Off-line search IIPH5         ;                              ;                                                                                                                                ;I;10
R;IUFILIMFX5;Select/fill ISAVO for IMFX5   ;                              ;                                                                                                                                ;I;10
R;IUFILIMLD5;Select/fill ISAVO for IMLD5   ;                              ;                                                                                                                                ;I;10
R;IUFILLSAV1;Off line search IPASC         ;                              ;                                                                                                                                ;I;10
R;IUFILLSAV4;Off-line search IRCL5         ;                              ;                                                                                                                                ;I;10
R;IUFILLSAVO;Off-line search               ;                              ;                                                                                                                                ;I;10
R;IUFLSHN;FLAG SHN IN IGLDO AND IFXCO   ;                              ;                                                                                                                                ;I;7
R;IUFRASET;SETTLE FRA CONTRACTS          ;                              ;                                                                                                                                ;I;8
R;IUFRTRPTRA;Purge FRA'S RDS trs           ;                              ;                                                                                                                                ;I;10
R;IUFUTIRS;LOAD FUTURE SEGS FROM BTS     ;                              ;                                                                                                                                ;I;8
R;IUFXCTPUPD;Change Countrparty of FX Deals;                              ;                                                                                                                                ;I;10
R;IUFXTRPTRA;Print & delete transp. trs fe ;                              ;                                                                                                                                ;I;10
R;IUICVBSDEL;Delete ICVBS Records          ;                              ;                                                                                                                                ;I;10
R;IUINIPMTDT;Initialise payment dates      ;                              ;                                                                                                                                ;I;10
R;IUINIWARDT;Initialise warning dates      ;                              ;                                                                                                                                ;I;10
R;IUINTBTS;Intersection in BTS           ;                              ;                                                                                                                                ;I;8
R;IUINTIRS;UPDATE IRS TRANSACTIONS       ;                              ;                                                                                                                                ;I;8
R;IUINVFRA;Update FRA'S Inventory        ;                              ;                                                                                                                                ;I;8
R;IUINVFX;Update inventory for exchg.   ;                              ;                                                                                                                                ;I;7
R;IUINVIRF;Update IRF Inventory          ;                              ;                                                                                                                                ;I;8
R;IUINVIRS;Update IRS Inventory          ;                              ;                                                                                                                                ;I;8
R;IUINVLD;UPDATE INVENTORY LOAN DEPOSITS;                              ;                                                                                                                                ;I;7
R;IUINVOP;UPDATE INVENTORY FX OPTIONS   ;                              ;                                                                                                                                ;I;7
