Type;EntityName;Description;Owner                                                                                                                                                                                  ;;Letter;Length
R;ALDLLGFRS;download to GFRS              ;                              ;LOJ                                                                                                                             ;A;9
R;ALDLLGRP1;Download to PC Group 1        ;                              ;                                                                                                                                ;A;9
R;ALDLLGRP2;Download Group Files to PC    ;                              ;                                                                                                                                ;A;9
R;ALDLLGXINV;x                             ;                              ;SKA                                                                                                                             ;A;10
R;ALDLLINT;download total intrest as csv ;                              ;SUMI                                                                                                                            ;A;8
R;ALDLLINT2;download total intrest as csv ;                              ;SUMI                                                                                                                            ;A;9
R;ALDLLKPMG;Download                      ;                              ;JT                                                                                                                              ;A;9
R;ALDLLLCBNS;Download Ctpty Base Accounts  ;                              ;                                                                                                                                ;A;10
R;ALDLLMVT;*                             ;                              ;GSA                                                                                                                             ;A;8
R;ALDLLOFA;x                             ;                              ;SKA                                                                                                                             ;A;8
R;ALDLLTOTB;total balances download       ;                              ;WP                                                                                                                              ;A;9
R;ALDLLWBF;download to WBF               ;                              ;LOJ                                                                                                                             ;A;8
R;ALDLLXNPVB;IFS to XNP Value Balance Hist.;                              ;                                                                                                                                ;A;10
R;ALDLREPFFT;x                             ;                              ;GSA                                                                                                                             ;A;10
R;ALDLREPLOA;Condensed Risk Download       ;                              ;WP                                                                                                                              ;A;10
R;ALDLREPRSK;Country Risk Download         ;                              ;WP                                                                                                                              ;A;10
R;ALDLREPSUB;Subparticipation Download     ;                              ;WP                                                                                                                              ;A;10
R;ALDLSUMVT;*                             ;                              ;GSA                                                                                                                             ;A;9
R;ALDRMACC;List of Dormant Accounts (poss;                              ;                                                                                                                                ;A;8
R;ALESPBSH;Detailed Balance Sheet        ;                              ;                                                                                                                                ;A;8
R;ALEXCRAT01;Acc.Exch.Rates - Daily Report ;                              ;                                                                                                                                ;A;10
R;ALEXCRAT02;AEXRS Daily Audit Trail       ;                              ;                                                                                                                                ;A;10
R;ALFCM130;Margin remaining to cover     ;                              ;                                                                                                                                ;A;8
R;ALFOLCHK;Checklist on Folder           ;                              ;                                                                                                                                ;A;8
R;ALFOLDIR;Folders Directory Report      ;                              ;                                                                                                                                ;A;8
R;ALFXDYMVT;FX Positions - Daily Movements;                              ;                                                                                                                                ;A;9
R;ALGENINTCD;General Int.Settlem.Conditions;                              ;                                                                                                                                ;A;10
R;ALGIOTE;AccList Telegramma Giornaliere;                              ;                                                                                                                                ;A;7
R;ALHKM001;Hong-Kong Monetary Authority  ;                              ;                                                                                                                                ;A;8
R;ALHKM002;Report.Monetary Auth. part 2  ;                              ;                                                                                                                                ;A;8
R;ALHKME01;Reporting Monitary Authority E;                              ;                                                                                                                                ;A;8
R;ALHKMF01;Reporting Monetary Authority F;                              ;                                                                                                                                ;A;8
R;ALHKMI01;Reporting Monetary Authority I;                              ;                                                                                                                                ;A;8
R;ALHKMJ01;Reporting Monetary Authority J;                              ;                                                                                                                                ;A;8
R;ALHKMK01;Reporting Monetary Authority K;                              ;                                                                                                                                ;A;8
R;ALHKML01;Reporting Monetary Authority X;                              ;                                                                                                                                ;A;8
R;ALHKMM01;Reporting Monetary Authority M;                              ;                                                                                                                                ;A;8
R;ALHKMS01;HKG Balance Sheet             ;                              ;                                                                                                                                ;A;8
R;ALHKMX01;Reporting Monetary Authority X;                              ;                                                                                                                                ;A;8
R;ALINTBAL;List Internal Accounts        ;                              ;                                                                                                                                ;A;8
R;ALINTINT;Internal Interest Statement   ;                              ;                                                                                                                                ;A;8
R;ALINTREP;Interest Listing Report       ;                              ;                                                                                                                                ;A;8
R;ALINTRES;Int.Calc.Summary              ;                              ;                                                                                                                                ;A;8
R;ALJSTCON;Bkg.Entr.Justif.List/Oper.Id. ;                              ;                                                                                                                                ;A;8
R;ALKOLCONF;KOL Account Confirmations     ;                              ;                                                                                                                                ;A;9
R;ALLACBNK;Conflict of LAC & A&Z Codes   ;                              ;                                                                                                                                ;A;8
R;ALLBRAUT;Audit Trail Several Acc. Table;                              ;                                                                                                                                ;A;8
R;ALLSTADETS;List Accounts                 ;                              ;                                                                                                                                ;A;10
R;ALLZB001;Reporting Central Bank Germany;                              ;                                                                                                                                ;A;8
R;ALMARCOV;Margin remaining to cover     ;                              ;                                                                                                                                ;A;8
R;ALMRGGAL;Merge CMI/BRE GAL files       ;                              ;PRJ                                                                                                                             ;A;8
R;ALMVTFUT;Bkg.Entr.Journal Future value ;                              ;                                                                                                                                ;A;8
R;ALMVTREP1;Booking Entries Report 1      ;                              ;                                                                                                                                ;A;9
R;ALMVTREP2;Booking Entries out of Month  ;                              ;                                                                                                                                ;A;9
R;ALMVTREP3;Booking Entries Dly Mnthly SBD;                              ;                                                                                                                                ;A;9
R;ALMVTREP4;ALMVTREP1 for Dormant Accounts;                              ;                                                                                                                                ;A;9
R;ALMVTREPI;List Monthly Mvmts - Italy    ;                              ;                                                                                                                                ;A;9
R;ALMVTREPIT;List Monthly Mvmts - Italy    ;                              ;WP                                                                                                                              ;A;10
R;ALNOSFXPOS;NOSTRO ACCOUNTS - FX POSITIONS;                              ;                                                                                                                                ;A;10
R;ALOVDETS;download overdraft limits     ;                              ;PRJ                                                                                                                             ;A;8
R;ALPORBSH;New version ALBSH600 for LSB  ;                              ;                                                                                                                                ;A;8
R;ALRBRCHK;Total Checking Procedure      ;                              ;                                                                                                                                ;A;8
R;ALRBRO;Ledger Rubric Table Report    ;                              ;                                                                                                                                ;A;6
R;ALRESHIS;Account Results Report        ;                              ;                                                                                                                                ;A;8
R;ALRGRPOS;Regroupment FX Positions      ;                              ;                                                                                                                                ;A;8
R;ALRGRPOS2;Regroupment FX Positions      ;                              ;                                                                                                                                ;A;9
R;ALRGRPOS3;Simplified FX position        ;                              ;JT                                                                                                                              ;A;9
R;ALROOTBKT;List ABKTS not in ABA1S       ;                              ;                                                                                                                                ;A;9
R;ALRTBKELIS;List of AEVTO/AMVTE for day   ;                              ;                                                                                                                                ;A;10
R;ALSDTAXAUT;Audit Trail ATAHL, ATADL      ;                              ;                                                                                                                                ;A;10
R;ALSIHINT;Acc. Int. Cond. History List  ;                              ;                                                                                                                                ;A;8
R;ALSPCDTAUT;Audit Trail AINTL, ATAXL      ;                              ;                                                                                                                                ;A;10
R;ALTAXHST;TAX HISTORY                   ;                              ;                                                                                                                                ;A;8
R;ALTAXKOL;Create Tax advice print 4 KOL ;                              ;                                                                                                                                ;A;8
R;ALTLLCNV;Send converted acc.to Telelink;                              ;                                                                                                                                ;A;8
R;ALUIC001;Internal Reporting Italy      ;                              ;                                                                                                                                ;A;8
R;ALUNUSEDRL;LIST OF UNUSED BASE ACCOUNTS  ;                              ;                                                                                                                                ;A;10
R;ALVERPL;Profit & Loss Acc. not cleared;                              ;                                                                                                                                ;A;7
R;AUACRRPR;Accrual Reverse Process       ;                              ;                                                                                                                                ;A;8
R;AUACRRPR01;Accrual Reversal Process      ;                              ;                                                                                                                                ;A;10
R;AUACRRPR02;Accr.Rev.Proc for P&L in for. ;                              ;                                                                                                                                ;A;10
R;AUATRCSDUP;DUPLICATES ATRCS RECORDS      ;                              ;                                                                                                                                ;A;10
R;AUATRDODEL;Clean Out ATRDO records       ;                              ;                                                                                                                                ;A;10
R;AUAUDINVCE;Audit Statement Fee Booking an;                              ;ARKA                                                                                                                            ;A;10
R;AUBA1DEL;Physical Del. Intern Base Acc.;                              ;                                                                                                                                ;A;8
R;AUBASS;UPDATE ABASS ONCE AULOCRES OK ;                              ;                                                                                                                                ;A;6
R;AUBATDTE;Change dates at end EODBATCH  ;                              ;                                                                                                                                ;A;8
R;AUBKEAIS;Create AIS bookings           ;                              ;                                                                                                                                ;A;8
R;AUBKEFOLRT;Real Time BKG for Folders     ;                              ;                                                                                                                                ;A;10
R;AUBKEGEN;Auto-Booking Entries Generatio;                              ;                                                                                                                                ;A;8
R;AUBKEGENRT;AutoBkg.Entries in background ;                              ;                                                                                                                                ;A;10
R;AUBKEGENRV;Auto-Booking Entries Generatio;                              ;                                                                                                                                ;A;10
R;AUBKELIS;Auto-Booking Entries Listing  ;                              ;                                                                                                                                ;A;8
R;AUCHACAL;Charge Calculation            ;                              ;                                                                                                                                ;A;8
R;AUCHASTD;Stamp Duty Accounting Entries ;                              ;                                                                                                                                ;A;8
R;AUCHKCAT;CHECK/UPDATE CACCCAT          ;                              ;                                                                                                                                ;A;8
R;AUCLNADETS;Cleanup of ADETS              ;                              ;                                                                                                                                ;A;10
R;AUCLNHVB;Clean Det.Acc. Value Bal.Hist.;                              ;                                                                                                                                ;A;8
R;AUCLSACC;Close Non-local EMU accounts  ;                              ;                                                                                                                                ;A;8
R;AUCLSACC1;Set closing dte-non loc EMU ac;                              ;                                                                                                                                ;A;9
R;AUCLSNOS;Close Nostro Accounts         ;                              ;                                                                                                                                ;A;8
R;AUCNVACC;Account Conversion EMU to EURO;                              ;                                                                                                                                ;A;8
R;AUCNVACCR;convert accrual amounts       ;                              ;                                                                                                                                ;A;9
R;AUCNVADETS;Individual Cust Acc Euro Conv.;                              ;                                                                                                                                ;A;10
R;AUCNVLCCYS;EMU Currencies Euro Conversion;                              ;                                                                                                                                ;A;10
R;AUCNVLOC;fill AACR for loc.ccy deals   ;                              ;                                                                                                                                ;A;8
R;AUCOVCAL;SEPA Billing                  ;                              ;WP                                                                                                                              ;A;8
R;AUCRADV;Create Credit Mvt for IBAN acc;                              ;                                                                                                                                ;A;7
