Usable;Table;Short description as found in DB;Owner;Extra explanation as given by expert;Shared;Status;Comments
y;INOSO;Nostro file ;Financial Markets;lists all nostro account for an ING branch and their ordering;;;
y;INVMO;Nostro Value Movements ;Financial Markets;;;;
y;IOASO;Ccy Opt Acctg Status file ;Financial Markets;;;;
y;IODUS;Maintain overdue date ;Financial Markets;param settings;;;
y;IOPCO;Ccy Opt Conf Status file ;Financial Markets;;;;
y;IOPPO;Ccy Opt Payment Status file ;Financial Markets;;;;
y;IOPTS;Currency Options Contracts ;Financial Markets;;;;
y;IPIBO;Informations of ICNFO ;Financial Markets;;;;
y;IPIIO;Payment instructions ;Financial Markets;;;;
y;IPMTO;Payment decision table ;Financial Markets;auto filled over night based on IPWDO. List of payments and their due date.;;;
y;IPTIO;Payment instructions ;Financial Markets;;;;
y;IPWDO;Payment working days ;Financial Markets;contains the number of working days before due date for each product or payment type (eg. Payments in USD);;;
y;IRCVO;Reuters conversations ;Financial markets;;;;
y;IRFRO;REFERENCE RATES OUTPUT ;Financial Markets;list of rates and their source;;;
y;IRSAO;IRS accounting status file ;Financial Markets;;;;
y;IRSCO;IRS confirmation status file ;Financial Markets;;;;
y;IRSPO;IRS payment status file ;Financial Markets;;;;
y;ISIFO;Stndard instructions Free txt ;Financial Markets;Standing Instructions free text;;;
y;ISPIO;Standard Payment Instructions ;Financial Markets;;;;
y;ITECO;TECTEL INFO ;Financial Markets;;;;
y;ITIRO;Trailer IRS contracts ;Financial Markets;;;;
y;IWARO;Warning date decision table ;Financial Markets;auto filled based on IWODO. ;;;
y;IWODL;Warning working dayd log file ;Financial Markets;;;;
y;IWODO;Warning working days ;Financial Markets;;;;
y;IWSSO;WSS deal number ;Financial Markets;;;;
y;LBRCS;Brokerage Commissions ;Financial Markets;;;;
y;DCBRO;CBD trans reporting for SEPA ;Financial Reporting;interface to Central Bank reporting;y;;
y;ABA1S;INTERNAL BASE ACCOUNT ;General Ledger;accounts used for customers and general ledger accounts;;;
y;ABKTS;AUTOMATIC BOOKING TABLE ;General ledger;definitions/rules for booking;;;
y;ABUDS;Bufget per Ledger Rubric ;General ledger;;n;;
y;ADLGS;Maint Det.Acc.per Ledger Rubr. ;General ledger;;;;
y;ADSNS;P/L Distribution Key Dict. ;General ledger;;;;
y;AFOLO;Folders Directory ;General Ledger;to correct bookings manually;y;;
y;AGEXS;General Expence Rubric Input ;General ledger;;;;
y;AJSTO;Justif. Accounts/inventory ;General Ledger;justification between acc & entries - reporting;;;
y;ALGRS;Ledger Definition ;General ledger;labels;;;
y;AMDCO;Multiple D/C Folders ;General Ledger;also used in other modules(products);y;;
y;ANEUO;NEUTRALISED ACCOUNTS ;General Ledger;;;;
y;ARBRO;Ledger Rubric Table ;general ledger;;;;
y;ARCDO;RCE's per P/L Distrib. Key ;general ledger;Responsibility center;;;
y;AROTO; ;General Ledger;P&L roots;;;
y;ASTDO;Statistic Decission Table ;General Ledger;booking rules engine;;;
y;ATRCS;ACCOUNTING TRANS. CONTENTS ;General Ledger;;;;
y;ATRTS;ACCOUNTING EVENT TYPES FILE ;General ledger;Used by automatic booking table. Holds product/event/currency type combination;;;
y;LPRFS;Profit Centers ;General Ledger;;;;
y;LRCEO;Respons. Centre Structures ;General Ledger;reporting ;;;
y;LRCES;RESPONSIBILITY CENTER ;General Ledger;;;;
y;LSUPS;Suppliers Maintenance ;General Ledger;only GEX;;;
y;XFXAS;fixed assets maintenance ;General Ledger;;;;
y;XFXCO;fixed assets categories ;General Ledger;linked on XFXCO;;;
y;XFXTO;Fixed Assets Trailer ;General Ledger;;;;
y;XGBAO;GEX Balances/Supplier,PMM ;General Ledger;GEX balance of suplliers or personnell;;;
y;XGBUO;General Expenses Budgets ;General Ledger;;;;
y;XGDCS;General Exp. Document Input ;General Ledger;;;;
y;XGMVO;GEX Movements ;General Ledger;;;;
y;XGPAO;Gen. Exp. Payments structure ;General Ledger;;;;
y;XGPMO;Personnel Member Distribution ;General Ledger;;;;
y;XHVBO;GEX Suppl/PMM Val.Bal.History ;General Ledger;;;;
y;DBATO;BATCH PARAMETERS ;Instruction&Order Management;;;;
y;DDDCO;Direct debit contracts ;Instruction&Order Management;;;;
y;DEBFO;ELECTRONIC BANKING FILES ;Instruction&Order Management;kind of interfacing;y;;
y;DRSDO;Rejected Swift Messages Detail ;Instruction&Order Management;all swift msgs that are not treated (manually checked). Not always customer specific. - SWIFT msg engine support;;;
y;DRSMO;REJECTED SWIFT MESSAGE ;Instruction&Order Management;all swift msgs that are not treated. Not always customer specific. - SWIFT msg engine support;;;
y;CC3PO;Commission 3RD Parties ;Lending;commissions and payment account;;;
y;CCBRO;Risk At Close of Business ;Lending;Credit Risk Management - interface VORTEX;y;;
y;CCFPO;Cash flow position Comm.loans ;Lending;;;;
y;CCGRS;COMMISSION GROUPS DICTIONARY ;Lending;config table;;;
y;CCMHO;Commercial loans Header record ;Lending;;;;
y;CCOCO;Commission Due Dates ;Lending;not really used/relevant;;;
y;CCOMS;Commissions non-automated ;Lending;commision details related to a Cpt;;;
y;CCORO;Commission Revision Schedule ;Lending;;;;
y;CCREO;Commission Results Structure ;Lending;;;;
y;CEXSO;Excess/Out of order ;Lending;reporting of outstanding contracts to branches;;;
y;CFACO;FUS' FACILITIES STRUCTURE ;Lending;;;;
y;CFACS;Facilities ;Lending;;;;
y;CFDDO;Fee Due Dates per Fee Type ;Lending;;;;
y;CFFEO;Facility per Comm.Type ;Lending;;;;
y;CFRSO;Facility Reduction Schedule ;Lending;;;;
y;CFUSO;FOLLOW UP SYSTEM ;Lending;;;;
y;CFXRO;Fac.comm. Multidrawing Ccy ;Lending;;;;
y;CGATO;Guarantees Given Booking ;Lending;;;;
y;CGUAS;GUARANTEES EMITTED ;Lending;;;;
y;CGUCO;Guarantee commission due dates ;Lending;;;;
y;CGURO;Guarantee Reduction Schedule ;Lending;;;;
y;CMRGO;Customer Margin ;Lending;Cust margin added to spot rate per account;;;
y;CMTBO;UNDERLYING CONTACTS MT ;Lending;;;;
y;CMTLO;Trailer commercial loans ;Lending;funding and reinbursement table;;;
y;COMSO;Status file Commercial Loans ;Lending;;;;
y;CPTIO;Commercial loans paym.instr. ;Lending;;;;
y;CREPO;Warranties & Representations ;Lending;not really used/relevant;;;
y;CREXO;RIS Exception Table ;lending;Risk Department (RIS);;;
y;CRISO;Risk View ;Lending;;;;
y;CROCO;RAROC INFORMATION ;lending;;;;
y;CRTRO;Real Time Risk Structure ;lending;risk reporting (VORTEX);;;
y;CSIMS;Simplified inv. Commercial ;Lending;loans&guaranties;;;
y;CSLFO; ;Lending;;;;
y;ISIMO;Simplified Inventory Structure ;Lending;letters of credit,..;;;
y;LBROS;Broker File Maintenance ;Party Management;Broker details;;;
y;LCBNS;Counterparty Basenumber File ;Party Management;3-7-2 account is defined here;;;
y;LCORO;BCOR SWIFT-Addresses ;Party Management;contains BICs;;;
y;LCPSS;Counterparty Structure Descrip ;Party Management;;;;
y;LCTIO;CTP/BBL Base Account Main. ;Party Management;interim of LCTPS;;;
y;LCTPS;Counterparty File Maintenance ;Party Management;base account details of ING clients;;;
y;LCTSO;Counterparty Structures ;Party Management;;;;
y;LELCS;Electronical Address File ;Party Management;;;;
y;LELIO;Electronic Address Maintenance ;Party Management;(4 eyes)/interim;;;
y;LPHIO;Electronic Address Maintenance ;Party Management;interim LPHYS;;;
y;LPHYS;Physical Address File Mainten. ;Party Management;physical addresses;;;
y;LPSNS;Person File Maintenance ;Party Management;person or company;;;
y;DCBDO;Batch information ;Payment Execution Engine;clearing batch of payments;;;
y;DCBMO;Eurochannel reference table ;Payment Execution Engine;link between 3-7-2 account and foreign account numbers;;;
y;DCLHO;COMMERCIAL COLLECTION HEADER ;Payment Execution Engine;Direct debit for Italy;;;
y;DCLTO;COMMERCIAL COLLECTION TRAILER ;Payment Execution Engine;Direct Debit for Italy;;;
y;DCNDO;Default Conditions Table ;Payment Execution Engine;cutoff times, cost, values dates,?;;;
y;DCNTO;Condition types table ;Payment Execution Engine;calculation rules for conditions;;;
y;DCONO;Condition Codes ;Payment Execution Engine;condition definitions elements;;;
y;DCOVO;MT202 Covers - Customer Data ;Payment Execution Engine;;;;
y;DDETO;Details of payments ;Payment Execution Engine;;;;
y;DFIDO;Clearing Files Detail Record ;Payment Execution Engine;FI clearing representation;;;
y;DFIMO;Clearing Files Header Record ;Payment Execution Engine;FI clearing representation;;;
y;DFRTO;Free Text ;Payment Execution Engine;;;;
y;DFSCI;FI Settlements Contracts Int ;Payment Execution Engine;standing order for FI;;;
y;DFSCO;FI Settlements Contracts Inv ;Payment Execution Engine;;;;
y;DFSII;FI Auto Sett Instructions ;Payment Execution Engine;settlement instruction;;;
y;DFSIO;FI Auto Sett Instruction INV ;Payment Execution Engine;;;;
y;DGCAO;code group booking ;Payment Execution Engine;omgekeerde MECT (multiple european credit transfer);;;
y;DIPTO;Interim XBR Payment Trs file ;Payment Execution Engine;;;;
y;DPBDO;Payment Batch directory ;Payment Execution Engine;;;;
y;DPFBK;Payment Feedback ;Payment Execution Engine;FI  clearing feedback, only used for spain;;;
y;DPTRL;Pmt Trs log file ;Payment Execution Engine;Payment transaction history file;;;
y;DPTRO;INVENTORY OF XBR TRANSACTIONS ;Payment Execution Engine;trs going to be booked;;;
y;DRDIO;Recall Instruction ;Payment Execution Engine;instruction to recall payment in DE;;;
y;DSTAO;PAYMENT STATUS LOGGING ;Payment Execution Engine;;;;
