ABKTS;AUTOMATIC BOOKING TABLE ;General ledger
ABUDS;Bufget per Ledger Rubric ;General ledger
ADLGS;Maint Det.Acc.per Ledger Rubr. ;General ledger
ADSNS;P/L Distribution Key Dict. ;General ledger
AFOLO;Folders Directory ;General Ledger
AGEXS;General Expence Rubric Input ;General ledger
AJSTO;Justif. Accounts/inventory ;General Ledger
ALGRS;Ledger Definition ;General ledger
AMDCO;Multiple D/C Folders ;General Ledger
ANEUO;NEUTRALISED ACCOUNTS ;General Ledger
ARBRO;Ledger Rubric Table ;general ledger
ARCDO;RCE's per P/L Distrib. Key ;general ledger
AROTO; ;General Ledger
ASTDO;Statistic Decission Table ;General Ledger
ATRCS;ACCOUNTING TRANS. CONTENTS ;General Ledger
ATRTS;ACCOUNTING EVENT TYPES FILE ;General ledger
LPRFS;Profit Centers ;General Ledger
LRCEO;Respons. Centre Structures ;General Ledger
LRCES;RESPONSIBILITY CENTER ;General Ledger
LSUPS;Suppliers Maintenance ;General Ledger
XFXAS;fixed assets maintenance ;General Ledger
XFXCO;fixed assets categories ;General Ledger
XFXTO;Fixed Assets Trailer ;General Ledger
XGBAO;GEX Balances/Supplier,PMM ;General Ledger
XGBUO;General Expenses Budgets ;General Ledger
XGDCS;General Exp. Document Input ;General Ledger
XGMVO;GEX Movements ;General Ledger
XGPAO;Gen. Exp. Payments structure ;General Ledger
XGPMO;Personnel Member Distribution ;General Ledger
XHVBO;GEX Suppl/PMM Val.Bal.History ;General Ledger
DBATO;BATCH PARAMETERS ;Instruction&Order Management
DDDCO;Direct debit contracts ;Instruction&Order Management
DEBFO;ELECTRONIC BANKING FILES ;Instruction&Order Management
DRSDO;Rejected Swift Messages Detail ;Instruction&Order Management
DRSMO;REJECTED SWIFT MESSAGE ;Instruction&Order Management
CC3PO;Commission 3RD Parties ;Lending
CCBRO;Risk At Close of Business ;Lending
CCFPO;Cash flow position Comm.loans ;Lending
CCGRS;COMMISSION GROUPS DICTIONARY ;Lending
CCMHO;Commercial loans Header record ;Lending
CCOCO;Commission Due Dates ;Lending
CCOMS;Commissions non-automated ;Lending
CCORO;Commission Revision Schedule ;Lending
CCREO;Commission Results Structure ;Lending
CEXSO;Excess/Out of order ;Lending
CFACO;FUS' FACILITIES STRUCTURE ;Lending
CFACS;Facilities ;Lending
CFDDO;Fee Due Dates per Fee Type ;Lending
CFFEO;Facility per Comm.Type ;Lending
CFRSO;Facility Reduction Schedule ;Lending
CFUSO;FOLLOW UP SYSTEM ;Lending
CFXRO;Fac.comm. Multidrawing Ccy ;Lending
CGATO;Guarantees Given Booking ;Lending
CGUAS;GUARANTEES EMITTED ;Lending
CGUCO;Guarantee commission due dates ;Lending
CGURO;Guarantee Reduction Schedule ;Lending
CMRGO;Customer Margin ;Lending
CMTBO;UNDERLYING CONTACTS MT ;Lending
CMTLO;Trailer commercial loans ;Lending
COMSO;Status file Commercial Loans ;Lending
CPTIO;Commercial loans paym.instr. ;Lending
CREPO;Warranties & Representations ;Lending
CREXO;RIS Exception Table ;lending
CRISO;Risk View ;Lending
CROCO;RAROC INFORMATION ;lending
CRTRO;Real Time Risk Structure ;lending
CSIMS;Simplified inv. Commercial ;Lending
CSLFO; ;Lending
ISIMO;Simplified Inventory Structure ;Lending
LBROS;Broker File Maintenance ;Party Management
LCBNS;Counterparty Basenumber File ;Party Management
LCORO;BCOR SWIFT-Addresses ;Party Management
LCPSS;Counterparty Structure Descrip ;Party Management
LCTIO;CTP/BBL Base Account Main. ;Party Management
LCTPS;Counterparty File Maintenance ;Party Management
LCTSO;Counterparty Structures ;Party Management
LELCS;Electronical Address File ;Party Management
LELIO;Electronic Address Maintenance ;Party Management
LPHIO;Electronic Address Maintenance ;Party Management
LPHYS;Physical Address File Mainten. ;Party Management
LPSNS;Person File Maintenance ;Party Management
DCBDO;Batch information ;Payment Execution Engine
DCBMO;Eurochannel reference table ;Payment Execution Engine
DCLHO;COMMERCIAL COLLECTION HEADER ;Payment Execution Engine
DCLTO;COMMERCIAL COLLECTION TRAILER ;Payment Execution Engine
DCNDO;Default Conditions Table ;Payment Execution Engine
DCNTO;Condition types table ;Payment Execution Engine
DCONO;Condition Codes ;Payment Execution Engine
DCOVO;MT202 Covers - Customer Data ;Payment Execution Engine
DDETO;Details of payments ;Payment Execution Engine
DFIDO;Clearing Files Detail Record ;Payment Execution Engine
DFIMO;Clearing Files Header Record ;Payment Execution Engine
DFRTO;Free Text ;Payment Execution Engine
DFSCI;FI Settlements Contracts Int ;Payment Execution Engine
DFSCO;FI Settlements Contracts Inv ;Payment Execution Engine
DFSII;FI Auto Sett Instructions ;Payment Execution Engine
DFSIO;FI Auto Sett Instruction INV ;Payment Execution Engine
DGCAO;code group booking ;Payment Execution Engine
DIPTO;Interim XBR Payment Trs file ;Payment Execution Engine
DPBDO;Payment Batch directory ;Payment Execution Engine
DPFBK;Payment Feedback ;Payment Execution Engine
DPTRL;Pmt Trs log file ;Payment Execution Engine
DPTRO;INVENTORY OF XBR TRANSACTIONS ;Payment Execution Engine
DRDIO;Recall Instruction ;Payment Execution Engine
DSTAO;PAYMENT STATUS LOGGING ;Payment Execution Engine
DSTIO;Standinf Orders - Interim File ;Payment Execution Engine
DSTOO;STANDING ORDERS FILE ;Payment Execution Engine
DSTSO;Payment - Statistical Data ;Payment Execution Engine
IAUTO;Autorisation decision table ;Payment Execution Engine
LTARO;Target 2 Directory Table ;Payment Execution Engine
RCHDS;Clear. Chq. Batch Dir. Maint. ;Payment Execution Engine
RCHQS;Cleared Cheque Maintenance ;Payment Execution Engine
RCHRO;CHEQUE REQUESTS ;Payment Execution Engine
APPNO;Product per Nature Code ;Product Management
LPRDS;Oper.Product Codes Dictionary ;Product Management
GSBSO;Special Batch Scheduling ;Reconciliation Engine
IACCO;Account identification stmt ;Reconciliation Engine
ICNDO;Confirmation decision table ;Reconciliation Engine
ICNFO;Our and their confirmation ;Reconciliation Engine
ICNFS;Mtn confirmation texts ;Reconciliation Engine
ICOPO;COMP payment status file ;Reconciliation Engine
IFCSO;FX CONF. STATUS FILE ;Reconciliation Engine
IFUPS;Follow-up parameters statement ;Reconciliation Engine
ILDCL;L/D CONF STATUS LOG FILE ;Reconciliation Engine
ILDCO;LD confirmation status file ;Reconciliation Engine
ISTLO;Statement line ;Reconciliation Engine
ISTMO;Statement ;Reconciliation Engine
ITCFO;INDICATION TABLE CLOSE FIT ;Reconciliation Engine
ITOLO;TOLERANCES OUTPUT ;Reconciliation Engine
AEXRS;Acc. Exch. Rates - Occas.Input ;Reference data
ASTMO;Statement History ;Reference Data
ATDCS;Bkg.Entries Free Text Maint. ;Reference Data
ISWCO;Swift conversion output ;Reference Data
LBGRS;Branch Group Description ;Reference Data
LBRAS;Branch master file ;Reference Data
LCCCS;Currency / Country LCCCS ;Reference data
LCCYS;Currency File Maintenance ;Reference data
LCGRS;Country Group Maintenance ;Reference data
LCIYS;City File ;Reference data
LCLIS;Country Limit Maintenance ;Reference Data
LCRYS;Country File Maintenance ;Reference Data
LCSTS;Country / Country Group LCSTS ;Reference Data
LGRDO;GRID table ;Reference Data
LGXFO;Grid Xreference ;Reference Data
LHOLO;Holiday File ;Reference Data
LRESS;Oper. Result Codes Dictionary ;Reference Data
REFFL;REFERENCE FILE STRUCTURE ;Reference Data
GSADO;SAGE msg detail records ;Reference data
GSAMO;SAGE msg header records ;Reference data
GSWMO;Swift Message Status ;Reference data
IBATO;Batch directory PMT/CNF/ACC ;
ADEIO;Indiv.Cust. Account Maint. Int ;Account Management
BDLGO;Bond Deals Inventory ;Financial Markets
BISSO;Bond Issuances Inventory ;Financial Markets
BRPIO;Interim REPO collateral file ;Financial Markets
BSPIO;STANDARD PAYMENT INSTR. BONDS ;Financial Markets
CC3PL;Commission 3rd Party ;Financial Markets
CCRXO;RXM CUSTOMER LINK ;Financial Markets
CCUSO;Share Trading : Custodian Def. ;Financial Markets
CMTCO;Margin Trading deals ;Financial Markets
CMTCS;MARGIN TRADING CUSTOMER ;Financial Markets
CPBCO;Private Banking Customer Def. ;Financial Markets
CPBPO;Private Banking Portfolio ;Financial Markets
CRXMO;RXM CONTRACTS ;Financial Markets
CSHAO;Customer Share Inventory ;Financial Markets
CSHCO;Share Charges Definition ;Financial Markets
CSHDS;Share Dealtype Definition ;Financial Markets
CSHOO;SHARE TRADIN OPTIONS STRUCTURE ;Financial Markets
CSHRO;Replace Share deals ;Financial Markets
CSHTO;Share Type Inventory ;Financial Markets
CSHVO;SHARE TRADING DIVIDENDS ;Financial Markets
CSSHO;Security Share Portfolio ;Financial Markets
IFXCL;FX CONTRACT LOG FILE ;Financial markets
IICSO;interim conf. status file ;Financial Markets
IIFFO;Interim file Financial Futures ;Financial Markets
IIFRO;Intermi file FRA ;Financial Markets
IIFXO;Interim file Foreign exchange ;Financial Markets
IIOPO;Interim file for Options ;Financial Markets
IIPIO;Interim file payment instr. ;Financial Markets
IIRSO;Interim file IRS contracts ;Financial Markets
IRSPL;IRS payment status log file ;Financial Markets
IDPLO;DAILY P / L ;general ledger
CEXPS;Commercial Explication Invent. ;Lending
CFATO;Facil. booking entries ;Lending
CFCRO;Facility Comm. Date/Amount ;Lending
CGURL;Guarantee reduction sched. LOG ;Lending
CHFCO;History of Fee Calcul. Basis ;Lending
CREPL;Warranties & Representations ;Lending
CROCL;RAROC INFORMATION ;lending
ITLDO;Trailer loan/deposits contract ;lending
ITITO;Titrisation ;Lending | Financial Markets
LEBAO;EBA Clearers ;Party Management
DFSIL;FI Auto Sett Instructions ;Payment Execution Engine
DGCAL;code group booking ;Payment Execution Engine
DRPTO;Reporting structure XBR ;Payment Execution Engine
LBIRO;BIREL Directory ;Payment Execution Engine
